    day   time   temp    humid  presur    wind   wdir    rain    int     skow    pasq
    
    60    1.00     7.4    71.9  1002.6     3.4    345     0.0     0.0     5.3     5.5
    60    2.00     7.1    74.0  1002.6     2.9    331     0.0     0.0     8.5     5.0
    60    3.00     6.7    74.8  1002.6     3.3    303     0.0     0.0    18.4     4.5
    60    4.00     6.1    75.2  1002.3     3.1    303     0.0     0.0    33.2     4.5
    60    5.00     5.9    77.3  1002.7     3.1    284     0.0     0.0    24.3     4.5
    60    6.00     5.9    77.3  1002.7     2.6    267     0.0     0.0    26.1     3.5
    60    7.00     6.2    77.3  1002.7     1.1    168     0.0     0.0    41.0     3.5
    60    8.00     6.4    77.3  1002.2     2.0    149     0.0     0.0    35.7     3.5
    60    9.00     7.7    74.2  1002.8     1.0    120     0.0     0.0    28.2     3.0
    60   10.00     8.8    64.6  1002.9     2.3    295     0.0     0.0    24.5     3.5
    60   11.00    11.0    55.3  1002.2     1.9     33     0.0     0.0    23.4     3.0
    60   12.00    11.8    50.5  1002.4     1.0    118     0.0     0.0    28.7     3.5
    60   13.00    11.7    52.0  1002.3     1.8    343     0.0     0.0    24.0     3.5
    60   14.00    11.8    51.4  1002.5     3.3    275     0.0     0.0    22.7     4.0
    60   15.00    12.1    54.8  1002.6     2.4    253     0.0     0.0    23.5     3.5
    60   16.00    12.1    60.2  1002.7     3.1    165     0.0     0.0    34.2     4.0
    60   17.00    11.7    62.7  1002.5     3.6    180     0.0     0.0    31.1     4.0
    60   18.00    11.0    63.7  1002.4     3.4    135     0.0     0.0    17.7     4.5
    60   19.00    10.6    66.3  1002.1     3.3    143     0.0     0.0    30.8     4.0
    60   20.00    10.6    66.9  1002.4     2.6    160     0.0     0.0    11.9     4.0
    60   21.00    10.5    69.0  1002.5     2.8    196     0.0     0.0    19.7     4.5
    60   22.00    10.2    71.5  1002.7     3.0    210     0.1     0.4    15.2     4.5
    60   23.00     9.9    75.5  1002.4     3.0    154     0.1     0.0    26.3     4.0
    60   24.00     9.8    76.6  1002.5     1.8    210     0.1     0.0    26.9     4.0
    61    1.00     9.8    75.7  1002.1     2.1    225     0.0     0.0    31.2     4.0
    61    2.00     9.7    75.4  1002.3     2.3    191     0.0     0.0    15.6     4.5
    61    3.00     9.4    76.3  1002.2     2.1    137     0.0     0.0    22.7     3.0
    61    4.00     9.7    74.7  1002.0     1.0    135     0.0     0.0    24.1     4.0
    61    5.00     9.2    75.6  1002.0     2.6    188     0.0     0.0    19.2     4.5
    61    6.00     8.9    78.0  1002.4     2.4    205     0.2     0.0    17.9     3.5
    61    7.00     9.0    79.6  1002.8     1.0     30     0.3     0.0    21.6     3.5
    61    8.00     9.6    81.4  1003.4     1.0    239     0.3     0.0    30.6     4.0
    61    9.00    10.0    81.8  1004.1     2.5    320     0.3     0.0    37.6     3.5
    61   10.00     9.2    84.4  1005.1     4.5     45     1.3     2.8    26.2     4.0
    61   11.00    10.4    73.7  1005.5     4.9    115     2.3     0.0    15.7     4.5
    61   12.00    10.8    62.0  1005.8     6.2    129     2.3     0.0    36.6     4.5
    61   13.00    12.2    46.6  1006.2     5.4    143     2.3     0.0    23.4     4.0
    61   14.00    12.1    39.4  1006.7     4.2    163     2.3     0.0    28.4     3.0
    61   15.00    12.2    38.9  1007.0     5.8    165     2.3     0.0    23.8     4.0
    61   16.00    11.5    40.8  1007.5     5.9    191     2.3     0.0    16.9     4.5
    61   17.00    11.0    47.0  1007.4     5.1    188     2.3     0.0    15.2     4.5
    61   18.00    10.4    49.2  1007.2     3.9    196     2.3     0.0    16.6     4.5
    61   19.00     9.2    59.0  1007.9     2.1    239     2.3     0.0    25.9     3.5
    61   20.00     8.3    65.2  1008.5     3.7    267     2.3     0.0    13.2     5.0
    61   21.00     7.9    67.3  1008.9     2.0    199     2.3     0.0    24.7     3.0
    61   22.00     7.9    68.0  1009.3     3.3    219     2.3     0.0    22.9     4.0
    61   23.00     6.9    72.7  1009.2     3.9    185     2.3     0.0    32.7     3.5
    61   24.00     7.2    73.7  1009.5     3.9    191     2.3     0.0    43.5     4.0
    62    1.00     7.8    71.3  1010.1     7.3    261     0.0     0.0    22.1     4.5
    62    2.00     8.8    54.5  1010.7     7.6    258     0.0     0.0    24.1     4.5
    62    3.00     8.4    39.2  1010.6     6.9    261     0.0     0.0    35.0     4.5
