   day   time   temp    humid  presur    wind   wdir    rain    int     skow     pasq

   152   10.00    12.4    75.8   997.2     6.8    236     5.1     1.2    22.8     3.0
   152   12.00    13.1    69.6   997.6     1.0     73     6.8     2.0    54.2     1.0
   152   13.00    14.6    67.6   997.5     1.1    250     6.9     0.0    65.0     1.0
   152   17.00    16.0    62.7   998.0     3.3    140     4.5     0.0    22.7     2.0
   152   18.00    15.9    61.3   997.9     3.2    146     4.5     0.0    40.5     2.0
   152   19.00    15.4    64.9   998.3     3.6    140     4.5     0.0    44.4     2.0
   152   20.00    14.9    69.6   998.5     3.2    146     4.5     0.0    20.6     6.0
   152   21.00    14.2    74.3   998.7     3.5    149     4.5     0.0    66.6     6.0
   152   22.00    13.5    76.9   999.2     3.4    149     4.5     0.0    26.1     6.0
   152   23.00    12.7    78.3   999.3     4.0    129     4.5     0.0    25.9     6.0
   152   24.00    12.2    79.8   999.0     3.0    140     4.5     0.0    46.6     6.0
   153    1.01    11.9    81.1   998.7     2.1    315     0.0     0.0    49.4     6.0
   153    2.00    11.4    82.9   998.7     2.2    191     0.0     0.0    59.9     6.0
   153    3.00    11.4    83.3   998.8     4.1    196     0.0     0.0    63.4     5.0
   153    4.00    11.1    82.6   998.8     1.6    149     0.0     0.0    49.2     6.0
   153    5.00    11.0    84.2   998.8     1.9    177     0.0     0.0    42.0     2.0
   153    6.00    10.7    84.0   998.9     3.4    157     0.0     0.0    53.7     2.0
   153   10.00    19.7    44.7   998.3     3.8    213     0.0     0.0    36.7     2.0
   153   11.00    20.9    41.2   998.0     5.3    210     0.0     0.0    53.1     2.0
   153   12.00    20.9    40.0   998.0     4.9    213     0.0     0.0    30.3     3.0
   153   13.00    21.7    40.9   998.4     5.1    213     0.0     0.0    34.5     2.0
   153   14.00    21.0    39.8   998.5     5.5    230     0.0     0.0    40.0     3.0
   153   15.00    21.5    39.7   998.1     5.0    278     0.0     0.0    51.7     3.0
   153   16.00    22.6    38.9   998.0     4.8    357     0.0     0.0    38.5     3.0
   153   17.00    22.8    38.1   998.0     2.7    295     0.0     0.0    54.4     1.0
   153   18.00    22.8    39.5   998.2     3.5    315     0.0     0.0    46.5     2.0
   153   19.00    20.7    42.5   998.7     2.6    253     0.0     0.0    46.2     2.0
   153   20.00    20.4    48.3   999.2     1.0    177     0.0     0.0    30.9     6.0
   153   21.00    19.0    56.9   999.6     2.6    216     0.0     0.0    38.4     6.0
   153   22.00    17.3    67.1   999.8     3.6    196     0.0     0.0    50.9     5.0
   153   23.00    15.9    71.9  1000.2     3.3    345     0.0     0.0    32.7     6.0
   153   24.00    15.5    73.8  1000.3     2.6    334     0.0     0.0    47.5     6.0
   154    1.00    15.6    75.4  1000.3     1.0    227     0.0     0.0    58.1     6.0
   154    2.00    15.1    77.0  1000.0     2.9    348     0.0     0.0    16.7     6.0
   154    9.00    18.0    64.0  1001.5     1.9    191     0.0     0.0    64.1     3.0
   154   10.00    20.2    55.2  1001.3     2.0    275     0.0     0.0    43.5     1.0
   154   11.00    21.5    49.0  1000.9     1.9    337     0.0     0.0    51.0     2.0
   154   12.00    22.5    45.0  1001.2     2.5    312     0.0     0.0    42.3     1.0
   154   13.00    23.6    43.7  1001.1     3.3    303     0.0     0.0    62.9     2.0
   154   14.00    23.7    44.4  1000.9     1.8    289     0.0     0.0    27.9     2.0
   154   15.00    24.9    43.6  1000.6     3.1    357     0.0     0.0    25.6     3.0
   154   16.00    26.0    41.2  1000.7     2.6     30     0.0     0.0    58.1     2.0
   154   17.00    24.6    46.5  1000.4     2.6    165     0.0     0.0    42.7     1.0
   154   18.00    26.3    40.7  1000.4     1.5    104     0.0     0.0     8.6     3.0
   154   19.00    24.6    43.7  1000.4     1.8    132     0.0     0.0    42.8     3.0
   154   20.00    21.8    45.1  1000.9     1.5    230     0.0     0.0    38.0     5.0
   154   21.00    20.0    53.1  1001.5     2.7    132     0.0     0.0    37.5     6.0
   154   22.00    19.3    62.0  1002.7     6.6    132     0.0     0.0    48.7     5.0
   154   23.00    17.8    70.9  1003.0     4.8    340     0.5     0.0    22.4     5.0
   154   24.00    16.7    74.6  1003.2     3.9    298     0.5     0.0    31.2     5.0
   155    1.00    16.0    79.7  1003.2     1.7    210     0.0     0.0    20.8     6.0
   155    2.00    15.4    80.9  1003.1     3.4    185     0.0     0.0    24.4     6.0
   155    3.00    15.1    82.9  1003.0     2.5    188     0.0     0.0    67.6     6.0
   155   11.00    21.8    50.4  1004.6     2.6    334     0.0     0.0    43.1     3.0
   155   12.00    23.3    48.1  1004.7     3.7    357     0.0     0.0    11.5     3.0
   155   13.00    23.9    45.7  1004.6     2.0    196     0.0     0.0    38.0     3.0
   155   14.00    25.4    44.4  1004.2     2.9    357     0.0     0.0    24.9     3.0
   155   15.00    25.5    42.5  1004.1     4.0    210     0.0     0.0    14.9     3.0
   155   16.00    25.8    42.2  1003.9     3.8    275     0.0     0.0    44.0     2.0
   155   17.00    27.0    40.7  1003.6     3.7    275     0.0     0.0    59.4     2.0
   155   18.00    26.4    39.1  1003.8     3.8     30     0.0     0.0    51.3     3.0
   155   19.00    26.8    39.9  1004.1     2.2    241     0.0     0.0    39.7     3.0
   155   21.00    22.9    59.8  1005.2     3.0    343     0.0     0.0    25.5     4.0
   155   22.00    21.7    53.4  1006.1     2.9    345     0.0     0.0     9.4     4.0
   155   23.00    21.1    58.7  1006.8     3.9    348     0.0     0.0     4.1     4.0
   155   24.00    19.9    53.2  1007.2     5.2    272     0.0     0.0    18.8     4.0
   156    1.00    18.4    55.4  1007.5     5.4    219     0.0     0.0    25.6     3.0
   156    5.00    15.2    73.5  1008.2     3.6    216     0.0     0.0    35.8     2.0
   156    6.01    15.3    74.3  1008.4     4.2    210     0.0     0.0    40.1     2.0
   156    9.01    20.6    56.6  1008.7     4.2    191     0.0     0.0    50.3     4.0
   156   10.00    22.0    54.2  1008.7     4.9    270     0.0     0.0    43.9     3.0
   156   11.00    23.1    51.2  1008.6     3.7    225     0.0     0.0    44.6     3.0
