    day   time   temp    humid  presur    wind   wdir    rain    int     skow    pasq
    
     1    1.00     8.2    83.5   998.6     3.1    106     0.0     0.0     5.5     5.0
     1    2.00     6.6    82.2   998.1     3.8      0     0.0     0.0     3.0     5.0
     1    3.00     7.1    85.1   997.1     4.3     25     0.0     0.0    15.3     5.0
     1    4.00     9.2    69.8   995.5     3.9      8     0.0     0.0     9.1     5.0
     1    5.01     8.2    74.5   994.6     5.4      5     0.0     0.0     5.5     4.5
     1    6.00     7.5    77.5   994.1     4.5    348     0.0     0.0    12.7     5.0
     1    7.00     5.7    77.9   994.0     3.4    320     0.0     0.0     6.2     5.0
     1    8.00     4.8    85.7   994.1     3.0    329     0.0     0.0     3.7     4.5
     1    9.00     4.6    85.7   993.9     2.7    309     0.0     0.0     6.4     5.0
     1   10.00     5.4    87.5   994.1     2.3    281     0.0     0.0     7.1     5.0
     1   11.00     6.3    87.9   993.8     1.4    258     0.0     0.0    15.6     4.0
     1   12.00     6.8    87.5   993.1     1.0      8     0.0     0.0    19.8     2.0
     1   13.00     6.7    86.5   992.4     1.1    120     0.0     0.0     9.2     5.0
     1   14.00     7.3    84.6   991.5     3.5    126     0.0     0.0     6.2     5.0
     1   15.00     8.1    80.4   991.8     1.1    258     0.0     0.0     9.3     2.5
     1   16.00     8.0    78.7   991.8     2.3     16     0.0     0.0     5.1     5.0
     1   17.00     7.1    86.9   992.0     2.8      2     0.0     0.4     5.7     4.5
     1   18.00     6.9    87.6   992.3     3.4    137     0.0     0.0    18.0     4.5
     1   19.01     6.5    89.0   993.2     1.3     36     0.0     0.0    12.5     5.5
     1   21.00     6.0    90.8   993.2     3.4    146     0.0     0.0     4.6     5.0
     1   22.01     5.7    89.2   993.2     1.8    182     0.0     0.0     8.2     5.5
     1   23.00     5.5    88.9   993.5     1.5    115     0.1     0.8     6.6     5.5
     1   24.00     6.3    89.8   993.4     2.4    278     1.2     0.4     4.9     5.5
     2    1.00     5.9    87.8   993.4     2.5     78     0.0     0.0     8.3     5.5
     2    2.00     6.1    87.2   993.1     1.3     28     0.0     0.0    15.4     5.5
     2    3.00     5.6    87.0   993.4     3.6     33     0.0     0.0    18.5     5.0
     2    4.00     5.9    87.0   993.0     2.4    163     0.0     0.0     5.3     5.5
     2    5.00     6.2    87.1   992.6     2.0    174     0.0     0.0     6.6     5.5
     2    6.00     6.2    85.6   993.1     2.9    208     0.1     0.4    12.0     5.5
     2    7.01     6.7    86.3   993.5     3.2    188     0.6     0.4     4.7     5.0
     2    8.00     7.8    75.7   994.0     5.1    233     0.8     0.0     4.8     5.0
     2    9.00     7.7    75.9   994.8     3.1    225     0.8     0.0     5.0     5.0
     2   10.00     8.0    77.2   995.7     7.3    230     1.0     1.2     5.8     4.0
     2   11.00     9.0    70.3   995.9     6.7    236     1.0     0.0     5.0     5.0
     2   12.00     9.6    58.4   996.3     8.8    236     1.0     0.0     6.4     4.0
     2   13.01    10.1    55.1   996.6     9.2    244     1.0     0.0     6.0     4.0
     2   14.00     9.2    57.6   997.2     9.0    292     1.0     0.0     5.3     4.0
     2   15.00     8.9    62.7   997.9     9.2    255     1.0     0.0     4.8     4.0
     2   16.00     8.5    63.8   999.1     8.4    253     1.4     0.0     5.7     4.0
     2   17.00     8.7    55.6   999.9     8.6    250     1.5     0.4     7.8     4.5
     2   18.00     7.4    55.5  1000.7     8.9    250     1.5     0.0     6.1     4.0
     2   19.00     7.2    56.3  1001.7     7.7    241     1.5     0.0     5.6     4.5
     2   20.00     7.0    58.2  1002.3     5.0    233     1.5     0.0     6.7     4.5
     2   21.00     6.9    57.6  1002.8     6.0    241     1.5     0.0     4.8     4.5
     2   22.00     6.8    58.6  1003.5     6.9    244     1.5     0.0     6.0     4.5
     2   23.00     7.1    55.5  1003.8     6.5    253     1.5     0.0     5.2     4.5
     2   24.00     7.0    57.0  1004.2     5.7    244     1.5     0.0     6.6     4.5
     3    1.00     6.8    62.2  1004.4     5.6    247     0.0     0.0     8.0     5.0
     3    2.00     6.6    62.7  1004.8     5.2    247     0.0     0.0     5.8     5.0
     3    3.00     6.2    63.9  1005.3     5.8    306     0.0     0.0     4.9     4.0
     3    4.00     4.0    69.8  1006.3     9.9    312     0.3     0.4     5.3     4.0
     3    5.00     1.9    77.5  1007.7     8.0    264     0.6     0.4     4.2     4.0
     3    6.01     1.2    82.7  1008.7     8.5    261     0.9     0.0     4.0     4.0
     3    7.00     0.8    84.3  1009.7     7.5    278     1.1     0.0     5.2     4.0
     3    8.00     0.5    87.0  1010.6     7.4    264     1.5     0.0     4.1     4.0
     3    9.00     0.3    87.3  1011.4     6.2    320     1.8     0.0     6.8     4.0
     3   10.00     0.3    85.9  1012.3     4.8    275     1.8     0.0     6.4     5.0
     3   11.00     0.7    76.6  1012.7     5.8    255     1.8     0.0     5.6     5.0
     3   12.00     0.5    77.6  1012.6     7.4    255     1.8     0.0     4.1     5.0
     3   13.00     0.7    74.7  1012.3     8.7    241     1.8     0.0     4.2     4.5
     3   14.00     0.4    79.1  1012.7     7.3    289     1.8     0.0     5.2     4.0
     3   15.01     0.1    86.9  1013.2     8.4    253     1.8     0.0     6.5     4.0
     3   16.00     0.0    79.5  1013.8     9.4    253     1.8     0.0     4.6     4.5
     3   17.00     0.2    64.4  1013.7     8.8    286     1.8     0.0     5.2     4.0
     3   18.00     0.4    56.0  1014.2     8.2    284     1.8     0.0     6.1     4.0
     3   19.00     0.6    50.8  1014.6     9.4    289     1.8     0.0     5.4     4.0
     3   20.00     0.2    48.2  1014.9     6.5    275     1.8     0.0     3.7     4.0
     3   21.00     0.0    48.7  1015.2     9.5    295     1.8     0.0     5.0     4.0
     3   22.00    -0.3    52.4  1015.6     9.3    236     1.8     0.0     5.5     4.0
     3   23.00    -0.2    50.4  1015.8     9.8    236     1.8     0.0     5.3     4.0
     3   24.00    -0.1    45.9  1016.3     6.2    267     1.8     0.0     6.2     4.0
     4    1.00    -0.3    45.5  1016.8     9.8    292     0.0     0.0     4.7     4.0
     4    2.01    -0.3    48.0  1017.2     9.4    289     0.0     0.0     5.0     4.0
     4    3.01    -0.5    45.5  1018.2     6.0    272     0.0     0.0     4.6     4.0
     4    4.01    -0.5    42.3  1018.8     9.6    300     0.0     0.0     5.1     4.0
     4    5.00    -0.9    40.5  1019.0     4.5    272     0.0     0.0     7.1     4.0
     4    6.00    -1.5    42.8  1019.5     8.5    295     0.0     0.0     5.9     4.0
     4    7.00    -2.2    47.2  1020.2     7.0    247     0.0     0.0     8.9     4.5
     4    8.00    -2.8    51.0  1020.6     5.1    239     0.0     0.0     5.4     4.5
     4    9.00    -1.7    45.8  1021.1     6.4    258     0.0     0.0     5.1     4.5
     4   10.00    -0.1    37.9  1021.7     6.5    309     0.0     0.0     4.9     4.5
     4   11.00     0.6    34.0  1021.7     9.1    258     0.0     0.0     5.1     4.0
     4   12.00     1.2    30.9  1021.6     7.3    275     0.0     0.0     5.5     4.0
     4   13.00     1.5    30.7  1021.2     6.6    258     0.0     0.0     3.7     4.5
     4   14.00     2.0    29.3  1021.1     5.8    317     0.0     0.0     5.4     4.0
     4   15.00     2.5    28.9  1021.0     4.0    284     0.0     0.0     6.9     4.5
     4   16.00     1.8    30.7  1021.1     3.2    300     0.0     0.0     5.9     5.0
     4   17.00     0.4    36.7  1021.5     2.4     30     0.0     0.0     2.0     5.5
     4   18.00    -1.0    47.9  1021.5     2.9     33     0.0     0.0     5.7     5.5
     4   19.00    -1.0    50.0  1022.1     3.7     39     0.0     0.0     9.1     4.5
     4   20.00    -1.5    56.5  1022.4     3.6     92     0.0     0.0     5.6     5.0
     4   21.00    -2.2    61.4  1022.2     4.0     11     0.0     0.0     5.9     5.0
     4   22.00    -2.6    64.0  1022.3     3.5     95     0.0     0.0    10.0     4.5
     4   23.00    -2.9    62.4  1022.1     4.6     36     0.0     0.0     6.9     4.5
     4   24.00    -3.2    64.3  1021.7     4.0     14     0.0     0.0     4.6     4.5
     5    1.00    -3.6    66.8  1021.5     4.4      5     0.0     0.0     6.2     4.5
     5    2.00    -3.9    69.6  1021.2     4.7      5     0.0     0.0     8.8     5.0
