    day   time   temp    humid  presur    wind   wdir    rain    int     skow     pasq
    
    32    1.00    -2.6    65.7  1005.6     3.4    174     0.0     0.0     5.4     5.0
    32    2.00    -2.2    65.7  1005.3     2.6    216     0.0     0.0     5.3     5.5
    32    3.00    -2.0    63.1  1005.2     2.1    213     0.0     0.0     4.7     5.5
    32    4.00    -2.1    63.5  1005.4     3.2    258     0.0     0.0     3.7     5.0
    32    5.00    -2.1    63.6  1006.2     4.5    303     0.0     0.0     3.9     5.0
    32    6.00    -0.7    72.3  1006.5     5.1    275     0.4     0.8     7.3     4.5
    32    7.00     0.3    73.6  1006.7     4.0    272     0.7     0.0     7.2     5.0
    32    8.00     0.4    69.5  1007.0     3.1    253     0.7     0.0     4.5     5.5
    32    9.00     0.4    69.3  1007.3     4.0    255     0.8     0.4     6.6     5.5
    32   10.00     0.3    71.8  1007.9     4.6    244     1.1     0.0     7.1     5.5
    32   11.00     0.7    71.0  1008.2     6.1    295     1.7     3.6     6.6     4.5
    32   12.00     0.6    67.1  1008.2     7.9    236     2.0     0.0     6.9     4.0
    32   13.01     0.5    65.1  1008.4     7.8    236     2.1     0.4     7.1     4.0
    32   14.00     1.1    60.5  1008.8     6.1    244     2.1     0.0     7.1     5.0
    32   15.00     1.7    49.5  1009.0     6.7    241     2.1     0.0     4.7     4.5
    32   16.00     1.9    39.7  1009.1     7.3    292     2.1     0.0     8.5     4.0
    32   17.00    -0.8    42.2  1009.6     8.2    239     2.1     0.0    12.5     4.0
    32   18.00    -2.1    44.0  1010.4     9.8    236     2.1     0.0    13.1     3.5
    32   19.00    -3.2    45.3  1011.6     6.0    241     2.1     0.0    15.1     4.5
    32   20.01    -3.0    47.4  1012.5     3.8    278     2.1     0.0     6.1     4.5
    32   21.00    -3.3    48.7  1013.1     8.8    289     2.1     0.0     5.7     4.0
    32   22.00    -3.8    46.1  1014.2     8.4    247     2.1     0.0     9.6     4.5
    32   23.01    -4.2    44.0  1014.8     8.9    236     2.1     0.0    21.6     4.5
    32   24.00    -4.8    45.0  1015.2     7.8    284     2.1     0.0     5.3     4.5
    33    1.00    -4.4    43.1  1015.4     8.0    255     0.0     0.0     5.5     4.0
    33    2.00    -4.9    42.5  1015.8     8.5    295     0.0     0.0     7.4     4.5
    33    3.00    -4.4    43.7  1016.1     6.7    236     0.0     0.0     5.3     4.0
    33    4.00    -6.9    44.1  1016.4     5.5    286     0.0     0.0     5.3     4.5
    33    5.00    -8.6    44.8  1016.6     5.4    281     0.0     0.0     7.6     4.5
    33    6.00    -8.3    44.1  1016.9     4.5    284     0.0     0.0     4.2     4.5
    33    7.00    -8.3    44.6  1017.2     3.2    298     0.0     0.0     6.5     5.0
    33    8.00    -8.9    46.3  1017.7     4.3    241     0.0     0.0     5.1     5.0
    33    9.00    -8.9    40.2  1017.9     5.9    236     0.0     0.0    12.8     4.0
    33   10.00    -9.0    39.6  1018.2     5.1    244     0.0     0.0     4.1     5.5
    33   11.00    -6.4    35.6  1017.8     2.7    275     0.0     0.0     4.0     5.0
    33   12.00    -3.4    31.1  1017.5     2.0    320     0.0     0.0     5.8     4.5
    33   13.00    -0.8    29.8  1017.0     3.3    292     0.0     0.0     7.1     5.5
    33   14.00     1.1    29.6  1015.9     2.5    258     0.0     0.0     5.6     5.5
    33   15.00     0.6    28.8  1015.5     2.4      8     0.0     0.0     6.5     3.5
    33   16.00     0.2    33.5  1016.4     1.3    306     0.0     0.0     5.3     5.0
    33   17.00    -1.4    42.0  1017.3     1.8    270     0.0     0.0     2.2     5.5
    33   18.00    -3.5    49.9  1018.1     2.6    267     0.0     0.0     0.1     6.0
    33   19.00    -5.9    55.8  1019.0     2.4    267     0.0     0.0     3.5     5.5
    33   20.00    -7.3    57.7  1019.4     2.6    171     0.0     0.0     4.5     5.5
    33   21.00    -8.1    59.6  1020.1     2.6    247     0.0     0.0     5.0     5.5
    33   22.00    -8.8    57.0  1020.6     3.3    244     0.0     0.0     5.7     5.0
    33   23.00    -9.4    54.3  1020.8     2.9    174     0.0     0.0     4.7     5.5
    33   24.00    -9.7    52.9  1021.0     6.8    236     0.0     0.0     4.6     5.0
    34    1.00    -8.5    50.7  1021.0     7.0    250     0.0     0.0     4.0     4.5
    34    2.00    -8.2    48.8  1021.4     5.1    253     0.0     0.0     3.5     5.0
    34    3.01    -8.4    47.6  1021.6     3.1    171     0.0     0.0     4.5     5.0
    34    4.00    -8.9    49.5  1021.7     2.7    168     0.0     0.0     4.0     5.0
    34    5.00    -8.2    47.2  1021.8     3.1    168     0.0     0.0     3.6     5.0
    34    6.01    -9.8    49.7  1021.8     2.8    174     0.0     0.0     4.9     5.5
    34    7.00   -10.0    51.4  1022.2     3.0    177     0.0     0.0     3.6     5.5
    34    8.01   -10.7    50.4  1022.3     2.8    250     0.0     0.0     3.6     6.0
    34    9.00    -8.7    42.8  1022.2     2.6    250     0.0     0.0     4.9     5.0
    34   10.00    -6.2    35.3  1021.7     1.8    140     0.0     0.0     7.8     3.0
    34   11.00    -3.8    29.4  1020.9     2.3    140     0.0     0.0     5.9     4.0
    34   12.00    -1.1    26.0  1019.8     2.5    253     0.0     0.0    15.6     4.5
    34   13.00     0.2    24.5  1018.9     1.6    255     0.0     0.0     6.5     5.0
    34   14.00     1.9    23.4  1018.0     1.6    236     0.0     0.0     6.6     5.5
    34   15.00     2.8    21.7  1017.1     1.0    205     0.0     0.0     6.9     4.5
    34   16.00     1.9    23.1  1016.7     1.8    165     0.0     0.0     5.4     5.5
    34   17.00     0.5    26.8  1017.4     1.8    160     0.0     0.0     5.2     4.0
    34   18.00    -1.7    32.8  1018.1     2.4    180     0.0     0.0     2.8     3.0
    34   19.00    -4.1    37.7  1018.2     2.6    227     0.0     0.0     4.5     5.5
    34   20.00    -3.6    32.6  1018.1     3.4    216     0.0     0.0     4.2     5.0
    34   21.00    -4.7    34.2  1018.3     2.9    210     0.0     0.0     3.3     5.0
    34   22.00    -5.1    32.9  1018.6     3.0    182     0.0     0.0     5.5     5.0
    34   23.00    -4.2    30.8  1019.2     2.1    129     0.0     0.0     5.9     5.5
    34   24.00    -3.8    32.6  1019.3     1.9    177     0.0     0.0     4.2     5.5
    35    1.00    -4.3    32.8  1019.1     2.6    194     0.0     0.0     4.5     5.0
    35    2.00    -4.7    35.5  1019.1     2.4    185     0.0     0.0     3.9     5.0
    35    3.00    -4.9    37.4  1019.2     2.7    191     0.0     0.0     3.6     5.0
    35    4.00    -4.3    34.9  1019.4     1.7    188     0.0     0.0     6.6     5.5
    35    5.00    -4.9    35.7  1020.0     2.4     95     0.0     0.0     3.6     5.5
    35    6.00    -3.0    34.6  1020.2     2.4    182     0.0     0.0     3.9     5.0
    35    7.00    -2.9    37.4  1020.2     6.4    233     0.0     0.0     6.9     5.0
    35    8.00    -0.7    46.8  1020.5     8.8    236     0.0     0.0     6.7     4.0
    35    9.00     3.6    38.8  1020.7     7.3    255     0.0     0.0     5.7     4.0
    35   10.01     4.9    34.8  1020.8     7.9    292     0.0     0.0     4.9     4.5
    35   11.00     6.0    32.4  1021.6     8.6    241     0.0     0.0     5.7     5.0
    35   12.00     6.3    32.0  1021.9     3.9     16     0.0     0.0     6.8     5.0
    35   13.00     7.1    30.2  1021.3     4.0    331     0.0     0.0     6.1     5.0
    35   14.00     7.2    30.5  1021.1     3.7    264     0.0     0.0     4.8     5.5
    35   15.00     8.3    28.9  1021.1     5.1    278     0.0     0.0     7.1     5.5
    35   16.01     7.4    31.2  1021.2     3.6    278     0.0     0.0     4.6     5.5
    35   17.01     6.1    31.0  1021.7     2.7    255     0.0     0.0     4.7     5.5
    35   18.00     3.3    46.0  1022.6     1.0    132     0.0     0.0     4.0     5.0
    35   19.00     2.1    50.4  1023.8     3.4    101     0.0     0.0     1.7     5.0
    35   20.00     0.7    54.8  1024.5     2.1    180     0.0     0.0     4.8     5.5
    35   21.00    -0.4    57.9  1024.9     2.1    165     0.0     0.0     3.0     5.5
    35   22.00    -1.8    62.0  1025.3     2.7    174     0.0     0.0     5.1     5.0
    35   23.00    -2.1    62.3  1025.5     2.2    185     0.0     0.0     3.6     5.0
    35   24.00    -3.5    62.0  1025.8     2.2     95     0.0     0.0     3.7     5.5
    36    1.00    -4.5    64.2  1026.0     2.3     92     0.0     0.0    10.1     5.5
    36    2.00    -5.5    64.1  1026.3     2.9    303     0.0     0.0     8.5     5.5
    36    3.00    -6.8    65.1  1026.5     2.6    295     0.0     0.0     4.0     5.5
    36    4.00    -8.0    64.8  1026.5     2.3    309     0.0     0.0     7.7     5.0
    36    5.00    -8.5    63.9  1026.8     2.6    303     0.0     0.0     5.3     5.0
    36    6.00    -8.1    65.8  1027.3     2.4     98     0.0     0.0    10.6     5.5
    36    7.00    -8.0    67.0  1027.6     1.7     92     0.0     0.0     6.8     5.5
    36    8.00    -7.5    67.9  1028.1     1.0    267     0.0     0.0     6.0     4.0
    36    9.00    -6.9    69.6  1028.3     1.8    118     0.0     0.0    10.5     3.5
    36   10.01    -6.4    70.2  1028.6     1.0     64     0.0     0.0    13.2     3.5
    36   11.00    -6.0    69.1  1028.7     1.0     70     0.0     0.0    10.1     4.5
    36   12.00    -5.2    64.6  1028.0     1.0     64     0.0     0.0     9.7     4.5
    36   13.00    -3.8    58.5  1027.1     1.0    154     0.0     0.0     5.3     4.0
    36   14.00    -2.9    54.9  1026.4     2.3    267     0.0     0.0     8.8     4.5
    36   15.00    -3.0    52.6  1025.6     1.7    160     0.0     0.0    13.6     4.0
    36   16.00    -4.0    56.7  1025.2     2.2    213     0.0     0.0     6.1     4.0
    36   17.00    -4.8    64.3  1025.5     2.0    230     0.0     0.0     5.7     4.5
    36   18.00    -5.1    65.6  1025.8     2.0    258     0.0     0.0     9.8     5.5
